code,secode,name
601991,2010000879,大唐发电
1,2010000937,平安银行
10,2010000946,美丽生态
13,2010000949,*ST石化A
21,2010000957,深科技
24,2010000960,招商地产
419,2010001033,通程控股
517,2010001060,荣安地产
532,2010001075,力合股份
533,2010001076,万家乐
547,2010001090,航天发展
553,2010001096,沙隆达A
560,2010001103,昆百大A
563,2010001106,陕国投A
564,2010001107,西安民生
600651,2010000562,飞乐音响
600656,2010000567,退市博元
600666,2010000577,奥瑞德
600668,2010000579,尖峰集团
600683,2010000594,京投发展
600691,2010000602,阳煤化工
600692,2010000603,亚通股份
600697,2010000608,欧亚集团
600708,2010000619,光明地产
600716,2010000627,凤凰股份
600717,2010000628,天津港
600719,2010000630,大连热电
600721,2010000632,*ST百花
600724,2010000635,宁波富达
600731,2010000642,湖南海利
600736,2010000647,苏州高新
600750,2010000661,江中药业
600773,2010000684,西藏城投
600794,2010000705,保税科技
600798,2010000709,宁波海运
600803,2010000714,新奥股份
600809,2010000720,山西汾酒
600814,2010000725,杭州解百
600815,2010000726,厦工股份
600825,2010000736,新华传媒
600838,2010000749,上海九百
600839,2010000750,四川长虹
600847,2010000758,万里股份
600857,2010000768,宁波中百
600871,2010000782,石化油服
600877,2010000788,中国嘉陵
600883,2010000794,博闻科技
600884,2010000795,杉杉股份
600888,2010000799,新疆众和
600899,2010000810,*ST信联
600982,2010000829,宁波热电
600987,2010000834,航民股份
600015,2010000014,华夏银行
600053,2010000038,九鼎投资
600056,2010000041,中国医药
600057,2010000042,象屿股份
600063,2010000048,皖维高新
600066,2010000051,宇通客车
600077,2010000062,宋都股份
600083,2010000068,博信股份
600099,2010000084,林海股份
600103,2010000088,青山纸业
600110,2010000095,诺德股份
600113,2010000098,浙江东日
600116,2010000101,三峡水利
600117,2010000102,西宁特钢
600121,2010000106,郑州煤电
600129,2010000113,太极集团
600155,2010000133,宝硕股份
600157,2010000135,永泰能源
600176,2010000152,中国巨石
600185,2010000161,格力地产
600187,2010000163,国中水务
600199,2010000174,金种子酒
600205,2010000179,S山东铝
600519,2010000438,贵州茅台
600535,2010000452,天士力
600546,2010000460,*ST山煤
600549,2010000463,厦门钨业
600551,2010000465,时代出版
600562,2010000475,国睿科技
600568,2010000480,中珠医疗
600572,2010000484,康恩贝
600577,2010000488,精达股份
600580,2010000491,卧龙电气
600589,2010000500,广东榕泰
600610,2010000521,中毅达
600612,2010000523,老凤祥
600626,2010000537,申达股份
600644,2010000555,乐山电力
600652,2010000563,游久游戏
600658,2010000569,电子城
600664,2010000575,哈药股份
600679,2010000590,上海凤凰
600699,2010000610,均胜电子
600702,2010000613,沱牌舍得
600711,2010000622,盛屯矿业
600722,2010000633,金牛化工
600725,2010000636,*ST云维
600737,2010000648,中粮屯河
600738,2010000649,兰州民百
600746,2010000657,江苏索普
600748,2010000659,上实发展
600752,2010000663,*ST哈慈
600765,2010000676,中航重机
600769,2010000680,祥龙电业
600774,2010000685,汉商集团
600779,2010000690,水井坊
600791,2010000702,京能置业
600792,2010000703,云煤能源
600799,2010000710,*ST龙科
600802,2010000713,福建水泥
566,2010001109,海南海药
573,2010001116,粤宏远A
585,2010001123,东北电气
586,2010001124,汇源通信
593,2010001131,大通燃气
596,2010001134,古井贡酒
597,2010001135,东北制药
602,2010001140,金马集团
606,2010001143,*ST易桥
607,2010001144,华媒控股
608,2010001145,阳光股份
627,2010001162,天茂集团
633,2010001168,*ST合金
635,2010001169,英力特
637,2010001171,茂化实华
652,2010001176,泰达股份
658,2010001181,ST海洋
666,2010001188,经纬纺机
676,2010001197,智度股份
689,2010001209,ST宏业
691,2010001211,ST亚太
695,2010001214,滨海能源
698,2010001216,沈阳化工
699,2010001217,S*ST佳纸
700,2010001218,模塑科技
708,2010001224,大冶特钢
717,2010001232,*ST韶钢
718,2010001233,苏宁环球
728,2010001242,国元证券
738,2010001251,中航动控
769,2010001271,*ST大菲
776,2010001272,广发证券
788,2010001282,北大医药
800,2010001293,一汽轿车
801,2010001294,四川九洲
805,2010001297,*ST炎黄
817,2010001307,辽河油田
601008,2010000848,连云港
601318,2010000857,中国平安
601333,2010000859,广深铁路
15,2010000951,PT中浩A
19,2010000955,深深宝A
26,2010000962,飞亚达A
31,2010000967,中粮地产
43,2010000978,中航地产
45,2010000979,深纺织A
46,2010000980,泛海控股
47,2010000981,ST中侨
49,2010000983,德赛电池
61,2010000990,农产品
157,2010001010,中联重科
159,2010001012,国际实业
400,2010001015,许继电气
402,2010001017,金融街
404,2010001019,华意压缩
405,2010001020,ST鑫光
406,2010001021,石油大明
407,2010001022,胜利股份
417,2010001031,合肥百货
498,2010001044,山东路桥
507,2010001051,珠海港
514,2010001057,渝开发
522,2010001065,白云山A
523,2010001066,广州浪奇
527,2010001070,美的电器
538,2010001081,云南白药
545,2010001088,金浦钛业
549,2010001092,S湘火炬
556,2010001099,PT南洋
819,2010001309,岳阳兴长
825,2010001314,太钢不锈
866,2010001339,扬子石化
883,2010001349,湖北能源
893,2010001357,东凌国际
906,2010001367,物产中拓
918,2010001377,嘉凯城
953,2010001402,河池化工
970,2010001417,中科三环
989,2010001433,九芝堂
990,2010001434,诚志股份
997,2010001439,新大陆
998,2010001440,隆平高科
2006,2010001449,精功科技
2009,2010001452,天奇股份
2016,2010001459,世荣兆业
2023,2010001466,海特高新
2025,2010001468,航天电器
2028,2010001471,思源电气
2037,2010001480,久联发展
2047,2010001490,宝鹰股份
2052,2010001495,同洲电子
2071,2010001514,长城影视
2072,2010001515,凯瑞德
2073,2010001516,软控股份
2074,2010001517,国轩高科
2075,2010001518,沙钢股份
2076,2010001519,雪莱特
2086,2010001529,东方海洋
2087,2010001530,新野纺织
2091,2010001534,江苏国泰
2095,2010001538,生意宝
2102,2010001545,冠福股份
2103,2010001546,广博股份
2110,2010001553,三钢闽光
2117,2010001560,东港股份
2143,2010001586,印纪传媒
600207,2010000181,安彩高科
600229,2010000201,城市传媒
600231,2010000203,凌钢股份
600241,2010000213,时代万恒
600251,2010000221,冠农股份
600285,2010000252,羚锐制药
600317,2010000281,营口港
600318,2010000282,新力金融
600329,2010000292,中新药业
600338,2010000300,西藏珠峰
600350,2010000308,山东高速
600368,2010000325,五洲交通
600372,2010000329,中航电子
600377,2010000333,宁沪高速
600381,2010000337,ST春天
600385,2010000340,山东金泰
600390,2010000345,*ST金瑞
600393,2010000348,粤泰股份
600410,2010000361,华胜天成
600429,2010000373,三元股份
600433,2010000375,冠豪高新
600444,2010000380,国机通用
600513,2010000433,联环药业
600516,2010000435,方大炭素
600532,2010000450,宏达矿业
600552,2010000466,凯盛科技
600571,2010000483,信雅达
600576,2010000487,万家文化
600578,2010000489,京能电力
600593,2010000504,大连圣亚
600601,2010000512,方正科技
600605,2010000516,汇通能源
600613,2010000524,神奇制药
600619,2010000530,海立股份
600623,2010000534,华谊集团
600627,2010000538,上电股份
565,2010001108,渝三峡A
567,2010001110,海德股份
569,2010001112,长城股份
572,2010001115,海马汽车
587,2010001125,金洲慈航
588,2010001126,PT粤金曼
589,2010001127,黔轮胎A
620,2010001156,新华联
625,2010001160,长安汽车
626,2010001161,远大控股
636,2010001170,风华高科
669,2010001191,金鸿能源
675,2010001196,ST银山
677,2010001198,恒天海龙
705,2010001222,浙江震元
707,2010001223,双环科技
709,2010001225,河钢股份
723,2010001238,美锦能源
757,2010001260,浩物股份
758,2010001261,中色股份
760,2010001263,斯太尔
789,2010001283,万年青
790,2010001284,泰合健康
795,2010001288,英洛华
802,2010001295,北京文化
803,2010001296,金宇车城
807,2010001299,云铝股份
810,2010001301,创维数字
823,2010001313,超声电子
836,2010001324,鑫茂科技
886,2010001351,海南高速
888,2010001353,峨眉山A
915,2010001374,山大华特
919,2010001378,金陵药业
926,2010001384,福星股份
938,2010001395,紫光股份
967,2010001414,盈峰环境
600804,2010000715,鹏博士
600805,2010000716,悦达投资
600817,2010000728,*ST宏盛
600820,2010000731,隧道股份
600827,2010000738,百联股份
600848,2010000759,上海临港
600850,2010000761,华东电脑
600851,2010000762,海欣股份
600854,2010000765,春兰股份
600864,2010000775,哈投股份
600868,2010000779,梅雁吉祥
600896,2010000807,中海海盛
600960,2010000812,渤海活塞
600975,2010000823,新五丰
600991,2010000837,广汽长丰
601088,2010000850,中国神华
601919,2010000875,中国远洋
8,2010000944,神州高铁
11,2010000947,深物业A
12,2010000948,南玻A
16,2010000952,深康佳A
18,2010000954,神州长城
20,2010000956,深华发A
22,2010000958,深赤湾A
25,2010000961,特力A
63,2010000992,中兴通讯
66,2010000994,长城电脑
68,2010000995,华控赛格
70,2010000997,特发信息
600005,2010000006,武钢股份
600007,2010000008,中国国贸
600026,2010000022,中海发展
600055,2010000040,万东医疗
600059,2010000044,古越龙山
600061,2010000046,国投安信
600064,2010000049,南京高科
600082,2010000067,海泰发展
600086,2010000071,东方金钰
600092,2010000077,S*ST精密
600095,2010000080,哈高科
600096,2010000081,云天化
600100,2010000085,同方股份
600104,2010000089,上汽集团
600107,2010000092,美尔雅
600119,2010000104,长江投资
600131,2010000115,岷江水电
600135,2010000118,乐凯胶片
600146,2010000126,商赢环球
600152,2010000131,维科精华
600158,2010000136,中体产业
600166,2010000143,福田汽车
600184,2010000160,光电股份
600191,2010000167,华资实业
600206,2010000180,有研新材
600216,2010000189,浙江医药
600003,2010000004,ST东北高
600020,2010000019,中原高速
600022,2010000021,山东钢铁
600028,2010000024,中国石化
600035,2010000029,楚天高速
600070,2010000055,浙江富润
600078,2010000063,澄星股份
600081,2010000066,东风科技
600091,2010000076,ST明科
600093,2010000078,禾嘉股份
600101,2010000086,明星电力
